bits	cover size	capacity	MLM bits	Emo bits	Typo bits	MLM share	Emo share	Typo share
95	260	37	14	53	28	15	56	29
60	187	32	15	26	19	25	43	32
47	174	27	15	12	20	32	26	43
65	211	31	16	22	27	25	34	42
48	190	25	10	15	23	21	31	48
53	176	30	12	20	21	23	38	40
80	206	39	18	36	26	22	45	32
65	165	39	11	33	21	17	51	32
65	175	37	17	28	20	26	43	31
86	215	40	17	42	27	20	49	31
68	208	33	14	25	29	21	37	43
85	198	43	18	40	27	21	47	32
94	211	45	12	54	28	13	57	30
69	194	36	13	30	26	19	43	38
83	205	40	18	37	28	22	45	34
78	215	36	13	40	25	17	51	32
78	203	38	12	41	25	15	53	32
69	211	33	21	22	26	30	32	38
88	194	45	15	47	26	17	53	30
91	211	43	11	53	27	12	58	30
108	207	52	17	64	27	16	59	25
92	215	43	19	48	25	21	52	27
78	201	39	16	34	28	21	44	36
91	188	48	17	47	27	19	52	30
80	214	37	15	38	27	19	48	34
73	196	37	16	30	27	22	41	37
79	198	40	17	35	27	22	44	34
99	201	49	17	54	28	17	55	28
103	196	53	16	62	25	16	60	24
101	205	49	17	57	27	17	56	27
61	208	29	16	18	27	26	30	44
59	200	30	15	18	26	25	31	44
